"fecha","cantidad","material","Tipo_Producto","segmento_producto","supergrupo_producto","grupo_producto","subgrupo_producto"
"2021-08-14","2.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2021-08-15","2.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2021-08-17","3.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2021-08-20","1.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2021-08-21","2.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2021-09-07","1.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2021-09-08","3.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2021-09-11","1.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2021-09-18","1.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2021-09-19","2.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2021-09-21","2.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2021-09-29","2.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2021-10-01","1.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2021-10-20","2.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2021-10-21","4.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
